student_id,name,program,semester,attendance,study_hours,assignment_score,internal_marks,previous_score,backlogs,participation,final_score,risk_level
1,Student_001,AI,1,83.5,3.3,80.4,89.3,67.2,0,6.0,93.6,Low
2,Student_002,ECE,2,89.1,2.7,65.2,60.0,58.9,0,3.1,72.3,Low
3,Student_003,CSE,2,66.9,3.9,60.2,48.2,87.6,0,6.0,92.5,Low
4,Student_004,AI,1,82.3,3.7,65.3,59.6,81.4,0,5.3,93.5,Low
5,Student_005,AIML,1,77.9,2.0,82.7,50.9,72.5,0,2.6,76.1,Low
6,Student_006,AI,1,87.7,2.1,51.4,78.8,63.5,0,7.2,72.1,Low
7,Student_007,CSE,2,81.6,3.0,63.2,76.6,82.4,1,8.4,84.9,Low
8,Student_008,AI,2,71.1,1.4,86.3,65.5,65.1,0,8.1,87.5,Low
9,Student_009,AIML,2,77.2,4.9,76.7,59.0,74.3,1,9.6,98.0,Low
10,Student_010,AIML,3,67.9,2.9,71.2,48.1,82.5,0,6.1,80.1,Low
11,Student_011,AI,2,94.3,2.8,61.5,61.0,81.0,1,7.2,88.9,Low
12,Student_012,AIML,3,79.9,3.1,80.8,64.4,65.6,0,7.1,86.2,Low
13,Student_013,ECE,2,78.1,3.2,53.6,62.1,65.9,2,4.9,69.3,Medium
14,Student_014,CSE,3,55.8,2.2,90.3,67.7,49.9,0,6.6,88.1,Low
15,Student_015,AI,1,75.9,3.9,71.5,51.6,83.7,0,8.0,82.2,Low
16,Student_016,AIML,1,93.2,5.5,90.1,55.7,70.9,1,4.5,86.0,Low
17,Student_017,ECE,3,79.1,2.8,51.8,69.0,57.3,1,7.4,76.5,Low
18,Student_018,ECE,1,76.2,3.0,60.5,63.0,76.7,1,7.0,84.2,Low
19,Student_019,AIML,1,60.3,3.8,75.4,78.9,55.2,1,3.9,78.5,Low
20,Student_020,AIML,1,91.4,3.8,83.0,70.4,55.4,1,4.1,85.4,Low
21,Student_021,ECE,3,67.3,4.6,87.1,56.5,81.6,1,7.3,81.6,Low
22,Student_022,CSE,1,79.6,1.6,62.0,80.3,67.1,1,6.5,84.0,Low
23,Student_023,AI,2,75.1,7.3,80.1,56.0,57.1,2,7.5,83.4,Low
24,Student_024,ECE,1,86.1,2.9,82.1,82.6,65.9,0,6.9,84.6,Low
25,Student_025,CSE,1,79.9,4.0,60.5,70.2,70.7,2,4.2,79.5,Low
26,Student_026,AIML,3,89.7,2.2,90.0,80.7,62.8,1,7.5,98.0,Low
27,Student_027,AIML,3,84.3,5.1,84.4,77.1,66.2,0,8.0,97.7,Low
28,Student_028,CSE,3,68.6,3.4,65.0,43.0,74.3,0,5.6,80.0,Low
29,Student_029,ECE,2,78.7,2.0,62.7,77.5,61.2,0,6.9,91.9,Low
30,Student_030,ECE,1,98.3,5.4,82.8,68.2,75.3,0,5.2,98.0,Low
31,Student_031,CSE,2,69.3,3.3,78.6,80.1,55.6,0,5.8,84.9,Low
32,Student_032,CSE,4,60.3,4.8,88.5,73.3,89.8,0,3.5,89.0,Low
33,Student_033,AIML,3,91.9,2.5,77.8,78.8,58.9,0,6.4,80.3,Low
34,Student_034,CSE,3,76.8,0.7,55.1,89.6,85.9,0,9.4,79.0,Low
35,Student_035,AI,2,90.8,3.5,59.2,74.5,72.4,0,5.3,89.4,Low
